url,category_code,category_description,date_added,source,notes
http://www.torrentdownload.ws/,FILE,File-sharing,2017-04-12,,
http://130.192.91.211/,FILE,File-sharing,2017-04-12,,
http://torrentroom.com/,FILE,File-sharing,2017-04-12,,
